device_id;section;temperature;created_at
10;pagi;21.9;"2025-01-18 08:00:00"
1;sore;6.4;"2025-01-18 15:30:00"
2;sore;6.2;"2025-01-18 15:30:00"
3;sore;6.5;"2025-01-18 15:30:00"
4;sore;12.5;"2025-01-18 15:30:00"
5;sore;16.2;"2025-01-18 15:30:00"
6;sore;18.9;"2025-01-18 15:30:00"
7;sore;10.6;"2025-01-18 15:30:00"
8;sore;20;"2025-01-18 15:30:00"
10;sore;22.8;"2025-01-18 15:30:00"
1;pagi;4.2;"2025-01-19 08:00:00"
2;pagi;4.7;"2025-01-19 08:00:00"
3;pagi;5.4;"2025-01-19 08:00:00"
4;pagi;11.8;"2025-01-19 08:00:00"
5;pagi;15.4;"2025-01-19 08:00:00"
6;pagi;19.7;"2025-01-19 08:00:00"
7;pagi;9.6;"2025-01-19 08:00:00"
8;pagi;18.7;"2025-01-19 08:00:00"
10;pagi;22.6;"2025-01-19 08:00:00"
1;sore;5.6;"2025-01-19 15:30:00"
2;sore;6.5;"2025-01-19 15:30:00"
3;sore;6.4;"2025-01-19 15:30:00"
4;sore;11;"2025-01-19 15:30:00"
5;sore;17.6;"2025-01-19 15:30:00"
6;sore;17.5;"2025-01-19 15:30:00"
7;sore;9.8;"2025-01-19 15:30:00"
8;sore;19.6;"2025-01-19 15:30:00"
10;sore;21.7;"2025-01-19 15:30:00"
1;pagi;4.1;"2025-01-20 08:00:00"
2;pagi;3;"2025-01-20 08:00:00"
3;pagi;5.3;"2025-01-20 08:00:00"
4;pagi;10.7;"2025-01-20 08:00:00"
5;pagi;16.8;"2025-01-20 08:00:00"
6;pagi;18.4;"2025-01-20 08:00:00"
7;pagi;8.5;"2025-01-20 08:00:00"
8;pagi;18.6;"2025-01-20 08:00:00"
10;pagi;20;"2025-01-20 08:00:00"
1;sore;5.8;"2025-01-20 15:30:00"
2;sore;5.5;"2025-01-20 15:30:00"
3;sore;5.8;"2025-01-20 15:30:00"
4;sore;12.5;"2025-01-20 15:30:00"
5;sore;18;"2025-01-20 15:30:00"
6;sore;19.6;"2025-01-20 15:30:00"
7;sore;8.6;"2025-01-20 15:30:00"
8;sore;18.4;"2025-01-20 15:30:00"
10;sore;20.6;"2025-01-20 15:30:00"
1;pagi;4;"2025-01-21 08:00:00"
2;pagi;4;"2025-01-21 08:00:00"
3;pagi;4.5;"2025-01-21 08:00:00"
4;pagi;12.6;"2025-01-21 08:00:00"
5;pagi;15.9;"2025-01-21 08:00:00"
6;pagi;19.8;"2025-01-21 08:00:00"
7;pagi;9.4;"2025-01-21 08:00:00"
8;pagi;17.5;"2025-01-21 08:00:00"
10;pagi;22.7;"2025-01-21 08:00:00"
1;sore;5.7;"2025-01-21 15:30:00"
2;sore;5.4;"2025-01-21 15:30:00"
3;sore;6.4;"2025-01-21 15:30:00"
4;sore;10;"2025-01-21 15:30:00"
5;sore;16.5;"2025-01-21 15:30:00"
6;sore;20.9;"2025-01-21 15:30:00"
7;sore;9.4;"2025-01-21 15:30:00"
8;sore;17.6;"2025-01-21 15:30:00"
10;sore;22.2;"2025-01-21 15:30:00"
1;pagi;4.1;"2025-01-22 08:00:00"
2;pagi;3.9;"2025-01-22 08:00:00"
3;pagi;5.3;"2025-01-22 08:00:00"
4;pagi;12.4;"2025-01-22 08:00:00"
5;pagi;17.6;"2025-01-22 08:00:00"
6;pagi;20.8;"2025-01-22 08:00:00"
7;pagi;10.8;"2025-01-22 08:00:00"
8;pagi;18.6;"2025-01-22 08:00:00"
10;pagi;23;"2025-01-22 08:00:00"
1;sore;5.3;"2025-01-22 15:30:00"
2;sore;6.8;"2025-01-22 15:30:00"
3;sore;6.2;"2025-01-22 15:30:00"
4;sore;12.6;"2025-01-22 15:30:00"
5;sore;15.8;"2025-01-22 15:30:00"
6;sore;20.6;"2025-01-22 15:30:00"
7;sore;9.8;"2025-01-22 15:30:00"
8;sore;20.6;"2025-01-22 15:30:00"
10;sore;21.6;"2025-01-22 15:30:00"
1;pagi;3.7;"2025-01-23 08:00:00"
2;pagi;4.8;"2025-01-23 08:00:00"
3;pagi;5.4;"2025-01-23 08:00:00"
4;pagi;11.8;"2025-01-23 08:00:00"
5;pagi;15.4;"2025-01-23 08:00:00"
6;pagi;18.3;"2025-01-23 08:00:00"
7;pagi;10.6;"2025-01-23 08:00:00"
8;pagi;19.7;"2025-01-23 08:00:00"
10;pagi;21.6;"2025-01-23 08:00:00"
1;sore;5.2;"2025-01-23 15:30:00"
2;sore;5.7;"2025-01-23 15:30:00"
3;sore;6.4;"2025-01-23 15:30:00"
4;sore;12.5;"2025-01-23 15:30:00"
5;sore;16.9;"2025-01-23 15:30:00"
6;sore;20.8;"2025-01-23 15:30:00"
7;sore;10.5;"2025-01-23 15:30:00"
8;sore;18;"2025-01-23 15:30:00"
10;sore;20.5;"2025-01-23 15:30:00"
1;pagi;3.8;"2025-01-24 08:00:00"
2;pagi;4.7;"2025-01-24 08:00:00"
3;pagi;4.8;"2025-01-24 08:00:00"
4;pagi;12.5;"2025-01-24 08:00:00"
5;pagi;15.3;"2025-01-24 08:00:00"
6;pagi;19.6;"2025-01-24 08:00:00"
7;pagi;9.4;"2025-01-24 08:00:00"
8;pagi;20.6;"2025-01-24 08:00:00"
10;pagi;22.7;"2025-01-24 08:00:00"
1;sore;6.3;"2025-01-24 15:30:00"
2;sore;5.1;"2025-01-24 15:30:00"
3;sore;6.5;"2025-01-24 15:30:00"
4;sore;13.2;"2025-01-24 15:30:00"
5;sore;17.2;"2025-01-24 15:30:00"
6;sore;18.7;"2025-01-24 15:30:00"
7;sore;8.7;"2025-01-24 15:30:00"
8;sore;18.9;"2025-01-24 15:30:00"
10;sore;22.4;"2025-01-24 15:30:00"
1;pagi;3.4;"2025-01-25 08:00:00"
2;pagi;4.2;"2025-01-25 08:00:00"
3;pagi;4.9;"2025-01-25 08:00:00"
4;pagi;11.8;"2025-01-25 08:00:00"
5;pagi;16.2;"2025-01-25 08:00:00"
6;pagi;18.7;"2025-01-25 08:00:00"
7;pagi;8.6;"2025-01-25 08:00:00"
8;pagi;21;"2025-01-25 08:00:00"
10;pagi;21.7;"2025-01-25 08:00:00"
1;sore;6.4;"2025-01-25 15:30:00"
2;sore;6.3;"2025-01-25 15:30:00"
3;sore;5.3;"2025-01-25 15:30:00"
4;sore;12.3;"2025-01-25 15:30:00"
5;sore;15.8;"2025-01-25 15:30:00"
6;sore;18.8;"2025-01-25 15:30:00"
7;sore;9.4;"2025-01-25 15:30:00"
8;sore;20.6;"2025-01-25 15:30:00"
10;sore;20;"2025-01-25 15:30:00"
1;pagi;3.6;"2025-01-26 08:00:00"
2;pagi;3.2;"2025-01-26 08:00:00"
3;pagi;5.3;"2025-01-26 08:00:00"
4;pagi;12.6;"2025-01-26 08:00:00"
5;pagi;15.4;"2025-01-26 08:00:00"
6;pagi;19.8;"2025-01-26 08:00:00"
7;pagi;8.7;"2025-01-26 08:00:00"
8;pagi;20;"2025-01-26 08:00:00"
10;pagi;20.6;"2025-01-26 08:00:00"
1;sore;5.2;"2025-01-26 15:30:00"
2;sore;6.4;"2025-01-26 15:30:00"
3;sore;5.7;"2025-01-26 15:30:00"
4;sore;12.4;"2025-01-26 15:30:00"
5;sore;16.8;"2025-01-26 15:30:00"
6;sore;19.5;"2025-01-26 15:30:00"
7;sore;11;"2025-01-26 15:30:00"
8;sore;19.8;"2025-01-26 15:30:00"
10;sore;20.8;"2025-01-26 15:30:00"
1;pagi;3.5;"2025-01-27 08:00:00"
2;pagi;4.1;"2025-01-27 08:00:00"
3;pagi;5.4;"2025-01-27 08:00:00"
4;pagi;12.8;"2025-01-27 08:00:00"
5;pagi;17.6;"2025-01-27 08:00:00"
6;pagi;20.7;"2025-01-27 08:00:00"
7;pagi;9.5;"2025-01-27 08:00:00"
8;pagi;20.8;"2025-01-27 08:00:00"
10;pagi;20.4;"2025-01-27 08:00:00"
1;sore;5.4;"2025-01-27 15:30:00"
2;sore;6.5;"2025-01-27 15:30:00"
3;sore;5.9;"2025-01-27 15:30:00"
4;sore;11.5;"2025-01-27 15:30:00"
5;sore;15.4;"2025-01-27 15:30:00"
6;sore;17.6;"2025-01-27 15:30:00"
7;sore;9.6;"2025-01-27 15:30:00"
8;sore;21;"2025-01-27 15:30:00"
10;sore;21.1;"2025-01-27 15:30:00"
1;pagi;4.6;"2025-01-28 08:00:00"
2;pagi;4.3;"2025-01-28 08:00:00"
3;pagi;4.9;"2025-01-28 08:00:00"
4;pagi;11.9;"2025-01-28 08:00:00"
5;pagi;17.2;"2025-01-28 08:00:00"
6;pagi;20.6;"2025-01-28 08:00:00"
7;pagi;8.9;"2025-01-28 08:00:00"
8;pagi;19.3;"2025-01-28 08:00:00"
10;pagi;21.1;"2025-01-28 08:00:00"
1;sore;5.9;"2025-01-28 15:30:00"
2;sore;5.9;"2025-01-28 15:30:00"
3;sore;6.4;"2025-01-28 15:30:00"
4;sore;10.4;"2025-01-28 15:30:00"
5;sore;17.6;"2025-01-28 15:30:00"
6;sore;17;"2025-01-28 15:30:00"
7;sore;8.7;"2025-01-28 15:30:00"
8;sore;18.3;"2025-01-28 15:30:00"
10;sore;22.6;"2025-01-28 15:30:00"
1;pagi;4.1;"2025-01-29 08:00:00"
2;pagi;3.5;"2025-01-29 08:00:00"
3;pagi;4.7;"2025-01-29 08:00:00"
4;pagi;11.6;"2025-01-29 08:00:00"
5;pagi;15.2;"2025-01-29 08:00:00"
6;pagi;18.5;"2025-01-29 08:00:00"
7;pagi;9.2;"2025-01-29 08:00:00"
8;pagi;20.8;"2025-01-29 08:00:00"
10;pagi;22.5;"2025-01-29 08:00:00"
1;sore;5.7;"2025-01-29 15:30:00"
2;sore;5.8;"2025-01-29 15:30:00"
3;sore;6.5;"2025-01-29 15:30:00"
4;sore;10.9;"2025-01-29 15:30:00"
5;sore;15.3;"2025-01-29 15:30:00"
6;sore;5;"2025-01-29 15:30:00"
7;sore;8.9;"2025-01-29 15:30:00"
8;sore;17.9;"2025-01-29 15:30:00"
10;sore;21.4;"2025-01-29 15:30:00"
1;pagi;4.8;"2025-01-30 08:00:00"
2;pagi;3.9;"2025-01-30 08:00:00"
3;pagi;5.2;"2025-01-30 08:00:00"
4;pagi;11.3;"2025-01-30 08:00:00"
5;pagi;17.2;"2025-01-30 08:00:00"
6;pagi;17.9;"2025-01-30 08:00:00"
7;pagi;10.6;"2025-01-30 08:00:00"
8;pagi;18.6;"2025-01-30 08:00:00"
10;pagi;20;"2025-01-30 08:00:00"
1;sore;6.3;"2025-01-30 15:30:00"
2;sore;5.2;"2025-01-30 15:30:00"
3;sore;5.3;"2025-01-30 15:30:00"
4;sore;12.9;"2025-01-30 15:30:00"
5;sore;16.2;"2025-01-30 15:30:00"
6;sore;19.5;"2025-01-30 15:30:00"
7;sore;9.5;"2025-01-30 15:30:00"
8;sore;16.2;"2025-01-30 15:30:00"
10;sore;22.5;"2025-01-30 15:30:00"
1;pagi;4.9;"2025-01-31 08:00:00"
2;pagi;3.8;"2025-01-31 08:00:00"
3;pagi;5.4;"2025-01-31 08:00:00"
4;pagi;12.6;"2025-01-31 08:00:00"
5;pagi;17.5;"2025-01-31 08:00:00"
6;pagi;18.6;"2025-01-31 08:00:00"
7;pagi;11;"2025-01-31 08:00:00"
8;pagi;17.8;"2025-01-31 08:00:00"
10;pagi;20.9;"2025-01-31 08:00:00"
1;sore;6.2;"2025-01-31 15:30:00"
2;sore;6.7;"2025-01-31 15:30:00"
3;sore;5.8;"2025-01-31 15:30:00"
4;sore;12.5;"2025-01-31 15:30:00"
5;sore;18;"2025-01-31 15:30:00"
6;sore;18.9;"2025-01-31 15:30:00"
7;sore;9.4;"2025-01-31 15:30:00"
8;sore;18.3;"2025-01-31 15:30:00"
10;sore;20.6;"2025-01-31 15:30:00"
1;pagi;3.9;"2025-02-01 08:00:00"
2;pagi;4.5;"2025-02-01 08:00:00"
3;pagi;5.7;"2025-02-01 08:00:00"
4;pagi;10.1;"2025-02-01 08:00:00"
5;pagi;15.3;"2025-02-01 08:00:00"
6;pagi;18.6;"2025-02-01 08:00:00"
7;pagi;8.7;"2025-02-01 08:00:00"
8;pagi;17.8;"2025-02-01 08:00:00"
10;pagi;20.9;"2025-02-01 08:00:00"
1;sore;6.3;"2025-02-01 15:30:00"
2;sore;6.5;"2025-02-01 15:30:00"
3;sore;5.9;"2025-02-01 15:30:00"
4;sore;11.1;"2025-02-01 15:30:00"
5;sore;16.5;"2025-02-01 15:30:00"
6;sore;19.6;"2025-02-01 15:30:00"
7;sore;9.7;"2025-02-01 15:30:00"
